location_zip	fill_color	region_name
50837	#f09897	NORTHERN PLAINS
50840	#f09897	NORTHERN PLAINS
50841	#f09897	NORTHERN PLAINS
50843	#f09897	NORTHERN PLAINS
50845	#f09897	NORTHERN PLAINS
50846	#f09897	NORTHERN PLAINS
50848	#f09897	NORTHERN PLAINS
50849	#f09897	NORTHERN PLAINS
50851	#f09897	NORTHERN PLAINS
50853	#f09897	NORTHERN PLAINS
50854	#f09897	NORTHERN PLAINS
50857	#f09897	NORTHERN PLAINS
50858	#f09897	NORTHERN PLAINS
50859	#f09897	NORTHERN PLAINS
50860	#f09897	NORTHERN PLAINS
50861	#f09897	NORTHERN PLAINS
50862	#f09897	NORTHERN PLAINS
50863	#f09897	NORTHERN PLAINS
50864	#f09897	NORTHERN PLAINS
51001	#f09897	NORTHERN PLAINS
51002	#f09897	NORTHERN PLAINS
51003	#f09897	NORTHERN PLAINS
51004	#f09897	NORTHERN PLAINS
51005	#f09897	NORTHERN PLAINS
51006	#f09897	NORTHERN PLAINS
51007	#f09897	NORTHERN PLAINS
51009	#f09897	NORTHERN PLAINS
51010	#f09897	NORTHERN PLAINS
51012	#f09897	NORTHERN PLAINS
51014	#f09897	NORTHERN PLAINS
51016	#f09897	NORTHERN PLAINS
51018	#f09897	NORTHERN PLAINS
51019	#f09897	NORTHERN PLAINS
51020	#f09897	NORTHERN PLAINS
51022	#f09897	NORTHERN PLAINS
51023	#f09897	NORTHERN PLAINS
51024	#f09897	NORTHERN PLAINS
51025	#f09897	NORTHERN PLAINS
51026	#f09897	NORTHERN PLAINS
51027	#f09897	NORTHERN PLAINS
51028	#f09897	NORTHERN PLAINS
51029	#f09897	NORTHERN PLAINS
51030	#f09897	NORTHERN PLAINS
51031	#f09897	NORTHERN PLAINS
51033	#f09897	NORTHERN PLAINS
51034	#f09897	NORTHERN PLAINS
51035	#f09897	NORTHERN PLAINS
51036	#f09897	NORTHERN PLAINS
51037	#f09897	NORTHERN PLAINS
51038	#f09897	NORTHERN PLAINS
51039	#f09897	NORTHERN PLAINS
51040	#f09897	NORTHERN PLAINS
51041	#f09897	NORTHERN PLAINS
51044	#f09897	NORTHERN PLAINS
51046	#f09897	NORTHERN PLAINS
51047	#f09897	NORTHERN PLAINS
51048	#f09897	NORTHERN PLAINS
51049	#f09897	NORTHERN PLAINS
51050	#f09897	NORTHERN PLAINS
51051	#f09897	NORTHERN PLAINS
51052	#f09897	NORTHERN PLAINS
51053	#f09897	NORTHERN PLAINS
51054	#f09897	NORTHERN PLAINS
51055	#f09897	NORTHERN PLAINS
51056	#f09897	NORTHERN PLAINS
51058	#f09897	NORTHERN PLAINS
51059	#f09897	NORTHERN PLAINS
51060	#f09897	NORTHERN PLAINS
51061	#f09897	NORTHERN PLAINS
51062	#f09897	NORTHERN PLAINS
51063	#f09897	NORTHERN PLAINS
51101	#f09897	NORTHERN PLAINS
51103	#f09897	NORTHERN PLAINS
51104	#f09897	NORTHERN PLAINS
51105	#f09897	NORTHERN PLAINS
51106	#f09897	NORTHERN PLAINS
51108	#f09897	NORTHERN PLAINS
51109	#f09897	NORTHERN PLAINS
51111	#f09897	NORTHERN PLAINS
51201	#f09897	NORTHERN PLAINS
51230	#f09897	NORTHERN PLAINS
51231	#f09897	NORTHERN PLAINS
51232	#f09897	NORTHERN PLAINS
51234	#f09897	NORTHERN PLAINS
51235	#f09897	NORTHERN PLAINS
51237	#f09897	NORTHERN PLAINS
51238	#f09897	NORTHERN PLAINS
51239	#f09897	NORTHERN PLAINS
51240	#f09897	NORTHERN PLAINS
51241	#f09897	NORTHERN PLAINS
51243	#f09897	NORTHERN PLAINS
51245	#f09897	NORTHERN PLAINS
51246	#f09897	NORTHERN PLAINS
51247	#f09897	NORTHERN PLAINS
51248	#f09897	NORTHERN PLAINS
51249	#f09897	NORTHERN PLAINS
51250	#f09897	NORTHERN PLAINS
51301	#f09897	NORTHERN PLAINS
51331	#f09897	NORTHERN PLAINS
